CMDLINE python pipeline.py
MEM 1.093750 1706983135.1920
MEM 15.000000 1706983135.2930
MEM 19.687500 1706983135.3936
MEM 55.851562 1706983135.4945
MEM 85.070312 1706983135.5949
MEM 107.726562 1706983135.6955
MEM 122.570312 1706983135.7963
MEM 131.164062 1706983135.8975
MEM 139.132812 1706983135.9981
MEM 153.351562 1706983136.0992
MEM 199.289062 1706983136.1998
MEM 204.757812 1706983136.3006
MEM 211.945312 1706983136.4021
MEM 214.460938 1706983136.5033
MEM 216.960938 1706983136.6045
MEM 218.523438 1706983136.7061
MEM 220.445312 1706983136.8075
MEM 220.914062 1706983136.9089
MEM 221.226562 1706983137.0105
MEM 221.539062 1706983137.1114
MEM 223.257812 1706983137.2120
MEM 226.695312 1706983137.3124
MEM 229.820312 1706983137.4137
MEM 231.539062 1706983137.5145
MEM 234.195312 1706983137.6151
MEM 237.476562 1706983137.7155
MEM 240.601562 1706983137.8170
MEM 242.789062 1706983137.9177
MEM 246.226562 1706983138.0182
MEM 252.164062 1706983138.1189
MEM 254.820312 1706983138.2196
MEM 257.164062 1706983138.3206
MEM 260.421875 1706983138.4217
MEM 272.453125 1706983138.5229
MEM 289.953125 1706983138.6237
MEM 295.890625 1706983138.7244
MEM 302.765625 1706983138.8252
MEM 306.828125 1706983138.9263
MEM 310.109375 1706983139.0273
MEM 310.890625 1706983139.1285
MEM 324.640625 1706983139.2298
MEM 346.152344 1706983139.3312
MEM 346.152344 1706983139.4319
MEM 348.027344 1706983139.5327
MEM 348.027344 1706983139.6337
MEM 348.027344 1706983139.7348
MEM 348.183594 1706983139.8360
MEM 348.183594 1706983139.9384
MEM 348.183594 1706983140.0392
MEM 348.183594 1706983140.1406
MEM 348.183594 1706983140.2418
MEM 348.183594 1706983140.3430
MEM 348.183594 1706983140.4443
MEM 348.339844 1706983140.5456
MEM 348.339844 1706983140.6462
MEM 348.339844 1706983140.7471
MEM 348.339844 1706983140.8478
MEM 348.339844 1706983140.9485
MEM 348.339844 1706983141.0492
MEM 348.339844 1706983141.1500
MEM 348.339844 1706983141.2506
MEM 348.339844 1706983141.3514
MEM 348.339844 1706983141.4526
MEM 348.339844 1706983141.5536
MEM 348.339844 1706983141.6544
MEM 348.339844 1706983141.7554
MEM 348.339844 1706983141.8565
MEM 348.339844 1706983141.9581
MEM 348.339844 1706983142.0590
MEM 348.496094 1706983142.1602
MEM 348.496094 1706983142.2630
MEM 348.496094 1706983142.3636
MEM 348.496094 1706983142.4655
MEM 348.496094 1706983142.5662
MEM 348.496094 1706983142.6670
MEM 348.496094 1706983142.7678
MEM 348.496094 1706983142.8683
MEM 348.496094 1706983142.9692
MEM 348.496094 1706983143.0702
MEM 348.652344 1706983143.1714
MEM 348.652344 1706983143.2721
MEM 348.652344 1706983143.3727
MEM 348.652344 1706983143.4736
MEM 348.652344 1706983143.5749
MEM 348.652344 1706983143.6763
MEM 348.652344 1706983143.7775
MEM 348.652344 1706983143.8781
MEM 348.652344 1706983143.9787
MEM 348.652344 1706983144.0793
MEM 348.652344 1706983144.1802
MEM 348.652344 1706983144.2809
MEM 348.652344 1706983144.3822
MEM 348.652344 1706983144.4829
MEM 348.652344 1706983144.5839
MEM 348.652344 1706983144.6844
MEM 348.652344 1706983144.7854
MEM 348.652344 1706983144.8864
MEM 348.652344 1706983144.9873
MEM 348.652344 1706983145.0880
MEM 348.652344 1706983145.1889
MEM 348.652344 1706983145.2896
MEM 348.652344 1706983145.3903
MEM 348.652344 1706983145.4915
MEM 348.652344 1706983145.5922
MEM 348.652344 1706983145.6937
MEM 348.652344 1706983145.7948
MEM 348.652344 1706983145.8961
MEM 348.652344 1706983145.9968
MEM 348.652344 1706983146.0975
MEM 348.652344 1706983146.1979
MEM 348.652344 1706983146.2987
MEM 348.652344 1706983146.3995
MEM 348.652344 1706983146.5004
MEM 348.652344 1706983146.6011
MEM 398.265625 1706983146.7025
MEM 426.812500 1706983146.8041
MEM 427.750000 1706983146.9055
MEM 447.750000 1706983147.0066
MEM 495.875000 1706983147.1079
MEM 500.718750 1706983147.2096
MEM 500.875000 1706983147.3109
MEM 515.988281 1706983147.4123
MEM 559.894531 1706983147.5137
MEM 560.050781 1706983147.6148
MEM 560.207031 1706983147.7157
MEM 606.925781 1706983147.8163
MEM 607.082031 1706983147.9173
MEM 607.238281 1706983148.0182
MEM 627.707031 1706983148.1192
MEM 627.707031 1706983148.2203
MEM 627.707031 1706983148.3215
MEM 618.695312 1706983148.4221
MEM 618.695312 1706983148.5224
MEM 618.695312 1706983148.6231
MEM 618.695312 1706983148.7236
MEM 618.695312 1706983148.8243
MEM 620.570312 1706983148.9248
MEM 626.507812 1706983149.0256
MEM 631.351562 1706983149.1267
MEM 636.351562 1706983149.2272
MEM 637.289062 1706983149.3278
MEM 641.976562 1706983149.4282
MEM 642.289062 1706983149.5288
MEM 642.289062 1706983149.6310
MEM 642.289062 1706983149.7322
MEM 642.289062 1706983149.8332
MEM 642.289062 1706983149.9340
MEM 642.289062 1706983150.0347
MEM 643.695312 1706983150.1359
MEM 644.789062 1706983150.2367
MEM 644.945312 1706983150.3378
MEM 644.945312 1706983150.4389
MEM 644.945312 1706983150.5402
MEM 633.960938 1706983150.6420
MEM 645.445312 1706983150.7431
MEM 0.000000 1706983150.8445
